Name,URL,number_of_stars,number_of_Commits,number_of_Closed_Issues,number_of_Opened_Issues,Last_Updated(last_commit),Fork_Type?,Last_Accessed
Mobile Security Framework (MobSF),https://github.com/MobSF/Mobile-Security-Framework-MobSF,15000,1874,1379,11,2 weeks ago,No,"Oct 22, 2023"
Bearer,https://github.com/Bearer/bearer,1400,1034,256,10,2 days ago,No,"Oct 22, 2023"
find-sec-bugs,https://github.com/find-sec-bugs/find-sec-bugs,2100,1342,324,92,"Jul 26, 2023",No,"Oct 22, 2023"
HuskyCI,https://github.com/globocom/huskyCI,545,1066,173,17,3 days ago,No,"Oct 22, 2023"
SpotBugs,https://github.com/spotbugs/spotbugs,3200,17150,699,412,6 hours ago,No,"Oct 22, 2023"
Insider,https://github.com/insidersec/insider,451,163,19,18,"Jan 26, 2021",No,"Oct 22, 2023"
Brakeman,https://github.com/presidentbeef/brakeman,6800,3920,646,86,3 days ago,No,"Oct 22, 2023"
Eclipse Steady,https://github.com/eclipse/steady,512,2100,76,9,"Aug 26, 2023",No,"Oct 23, 2023"
Policeman's Forbidden API Checker,https://github.com/policeman-tools/forbidden-apis,305,730,148,21,3 weeks ago,No,"Oct 23, 2023"
CogniCrypt,https://github.com/eclipse-cognicrypt/CogniCrypt,58,1039,229,32,"Apr 19, 2023",No,"Oct 23, 2023"
APKLeaks,https://github.com/dwisiswant0/apkleaks,4200,164,37,12,"Feb 10, 2023",No,"Oct 23, 2023"
Quark Script ,https://github.com/quark-engine/quark-engine,1100,836,151,51,12 hours ago,No,"Oct 23, 2023"
Snyk CLI,https://github.com/snyk/cli,4600,6467,442,102,6 hours ago,No,"Oct 23, 2023"
Semgrep,https://github.com/returntocorp/semgrep,8900,6349,2131,589,2 hours ago,No,"Oct 23, 2023"
Pylint,https://github.com/pylint-dev/pylint,4900,8972,4385,797,3 hours ago,No,"Oct 23, 2023"
Microsoft Application Inspector,https://github.com/microsoft/ApplicationInspector,4100,481,220,20,3 weeks ago,No,"Oct 23, 2023"
PMD,https://github.com/pmd/pmd,4500,26743,1620,644,3 days ago,No,"Oct 23, 2023"
Gosec - Go Security Checker,https://github.com/securego/gosec,7200,947,373,16,11 hours ago,No,"Oct 23, 2023"
GGshield by GitGuardian,https://github.com/GitGuardian/ggshield,1400,1599,142,33,12 hours ago,No,"Oct 23, 2023"
Enlightn,https://github.com/enlightn/enlightn,828,266,59,2,"Jul 21, 2023",No,"Oct 23, 2023"
Credential Digger,https://github.com/SAP/credential-digger,278,1089,67,24,3 weeks ago,No,"Oct 23, 2023"
Closure Compiler,https://github.com/google/closure-compiler,7100,18838,2036,886,2 hours ago,No,"Oct 23, 2023"
Psalm,https://github.com/vimeo/psalm,5300,13803,5658,1466,Yesterday,No,"Oct 23, 2023"
OWASP Java HTML Sanitizer,https://github.com/OWASP/java-html-sanitizer,792,518,131,99,"Apr 7, 2023",No,"Oct 23, 2023"
QRLJacking or Quick Response Code Login Jacking,https://github.com/OWASP/QRLJacking,1300,218,145,51,"May 2, 2023",No,"Oct 23, 2023"
OWASP Nettacker,https://github.com/OWASP/Nettacker,2600,2303,196,15,Yesterday,No,"Oct 23, 2023"
LunaSec,https://github.com/lunasec-io/lunasec,1400,3451,199,91,Last week,No,"Oct 23, 2023"
GOlangci-lint,https://github.com/golangci/golangci-lint,13400,2489,1300,155,6 hours ago,No,"Oct 23, 2023"
Dawnscanner,https://github.com/thesp0nge/dawnscanner,710,1055,194,26,"Apr 26, 2023",No,"Oct 23, 2023"
Bandit,https://github.com/PyCQA/bandit,5500,1323,459,163,Last month,No,"Oct 23, 2023"
Security Code Scan,https://github.com/security-code-scan/security-code-scan,875,1074,149,44,"Nov 11, 2022",No,"Oct 23, 2023"
GoKart,https://github.com/praetorian-inc/gokart,2100,34,22,25,"Sep 22, 2022",No,"Oct 23, 2023"
Bundler-audit,https://github.com/rubysec/bundler-audit,2600,654,137,26,"Sep 13, 2023",No,"Oct 23, 2023"
