Num_of_Topics,Coherence_Value
2,0.3596075437215359
3,0.35197969554106345
4,0.3561071865241119
5,0.35909300790662446
6,0.3674125314941463
7,0.3714715970342785
8,0.36184837733579334
9,0.36651604452455383
10,0.3523242223062992
11,0.3458432716889544
12,0.32556196105268875
13,0.3035582155419053
14,0.29500408967434316
15,0.26844788335600206
16,0.2654363779877513
17,0.26395271939948195
18,0.2595324861492226
19,0.2726185078612847
20,0.2772753280647692
21,0.27912722435946413
22,0.28904969216481075
23,0.28605404445424126
24,0.28228390775927203
25,0.2833587103482526
26,0.2814531347345931
27,0.2760711211697344
28,0.28209628651109814
29,0.2887268246406455
30,0.28650946091444374
31,0.28783293840665153
32,0.2848970108217857
33,0.27492800184339056
34,0.2758404280642363
35,0.2700999923421335
36,0.2791539540902469
37,0.27667618759206764
38,0.27026033177212144
39,0.26635770512013357
40,0.26693679336135806
41,0.26587815850685487
42,0.26579623001455704
43,0.26903361281742044
44,0.2664394372630073
45,0.26806506178296163
46,0.26263241283546485
47,0.265408550444827
48,0.2618463803496432
49,0.26433439129126485
50,0.26430935333963484


Best Number of Topics: 7
Highest Coherence Score: 0.3714715970342785
