unique_id,title,cluster
ID_2,bitcode disable decreasing score,423
ID_3,feature rescan finished remove rescan argument,337
ID_4,feature update docker tagged build workflow file,235
ID_5,update python support version,92
ID_6,dynamic analyser ios,485
ID_7,uninstall steps needed,206
ID_8,feature support non default xmlns attribute androidmanifest xml,408
ID_9,include new semgrep rules semgrep rules android security,433
ID_10,feature optimizing storage privileges database,164
ID_11,feature enhancing secret detection regex rules,483
ID_12,timeframe stable releases,424
ID_13,feature ios need binary code analysis detail info like android,485
ID_14,feature port recent python,26
ID_15,mobsf incompatibility kali linux python,170
ID_16,docker build failed,235
ID_17,feature make gunicorn listen ipv ipv sockets,147
ID_18,add support apple silicon,250
ID_19,feature suggest replace ip location library geoip,323
ID_20,dynamic analyze error,481
ID_21,mobsf static analysis fails apks upload via api,445
ID_22,get icon,387
ID_23,feature support static analysis different binary formats,485
ID_24,feature async support,483
ID_25,feature ios source show info plist,485
ID_26,androidversiontext error analysing apk,253
ID_27,feature add support android app bundles aab files,485
ID_28,ip location remove,402
ID_29,pdf export dead find better option,442
ID_30,ios permissions,188
ID_31,default permissions mobsf integration private repo using github actions,412
ID_32,feature html,481
ID_35,feature download ipa files like apks,485
ID_36,sha hash support ui lookup,161
ID_38,feature convert pdf report chinese,445
ID_39,feature support gplaydl,56
ID_40,add filelink permissions,456
ID_41,feature allow using environment variables set settings,337
ID_42,ipa analysis error attributeerror str object attribute get,458
ID_43,feature publish tagged docker image release,235
ID_44,feature release tag,92
ID_47,css file loading fail china,461
ID_48,feature analyzing string values looking credentials,346
ID_49,feature fridump integration,477
ID_50,feature find api keys secrets matching regex,256
ID_51,feature validate known vulnerable apps,424
ID_52,feature getting stuck running static scan running niap analyzer,26
ID_53,feature starting httptools web ui independently,477
ID_54,access web,488
ID_55,enterprise solutions partnerships,25
ID_56,feature download androidmanifest api,485
ID_57,feature support android app bundle format,485
ID_58,feature enterprise support detect deprecated methods libraries risk score,97
ID_59,feature setup sh run ubuntu report venv error,42
ID_60,feature fix typos discovered codespell,255
ID_63,enhancement make android ios permission data structure consistent,6
ID_64,feature ios hardcoded secrets info plist,485
ID_65,enhancement add arm docker images,383
ID_67,feature better scoring risk metrics,208
ID_68,feature split apk support,485
ID_69,feature browse files,485
ID_70,feature support independent dynamic analysis without static analysis,485
ID_71,feature python issue,138
ID_72,feature test,445
ID_73,feature maximum size apk file uploaded,337
ID_74,feature ability provide false positive list remove mark report,443
ID_75,ipa analysis error attributeerror str object attribute get,458
ID_76,wrong issue,34
ID_77,failed get json response dynamic analysis,20
ID_78,feature split settings py,169
ID_79,ux sticky horizontal scrollbar code xml views,408
ID_80,large file size causing issue static analysis,461
ID_81,feature add quark engine one static analyzers,445
ID_82,android emulator feature,485
ID_83,httptools ui url hardcoded localhost,271
ID_84,home views search func query recentscansdb url models declare,157
ID_85,wrong ca certificate subject hash leads certificate ignored trust anchor,328
ID_86,feature handle android source one level,485
ID_87,add section mobsf clearly indicates ssl pinning detection yes,170
ID_88,mobsf web api fuzzer entrance,420
ID_89,get mobile security framework v,221
ID_90,feature dynamically download frida binaries,335
