unique_id,title,cluster
ID_2,bitcode disable decreasing score,179
ID_3,feature rescan finished remove rescan argument,228
ID_4,feature update docker tagged build workflow file,418
ID_5,update python support version,352
ID_6,dynamic analyser ios,123
ID_7,uninstall steps needed,57
ID_8,feature support non default xmlns attribute androidmanifest xml,255
ID_9,include new semgrep rules semgrep rules android security,181
ID_10,feature optimizing storage privileges database,457
ID_11,feature enhancing secret detection regex rules,28
ID_12,timeframe stable releases,459
ID_13,feature ios need binary code analysis detail info like android,412
ID_14,feature port recent python,425
ID_15,mobsf incompatibility kali linux python,443
ID_16,docker build failed,418
ID_17,feature make gunicorn listen ipv ipv sockets,123
ID_18,add support apple silicon,217
ID_19,feature suggest replace ip location library geoip,465
ID_20,dynamic analyze error,418
ID_21,mobsf static analysis fails apks upload via api,412
ID_22,get icon,6
ID_23,feature support static analysis different binary formats,412
ID_24,feature async support,123
ID_25,feature ios source show info plist,412
ID_26,androidversiontext error analysing apk,191
ID_27,feature add support android app bundles aab files,412
ID_28,ip location remove,465
ID_29,pdf export dead find better option,59
ID_30,ios permissions,494
ID_31,default permissions mobsf integration private repo using github actions,465
ID_32,feature html,59
ID_35,feature download ipa files like apks,412
ID_36,sha hash support ui lookup,380
ID_38,feature convert pdf report chinese,59
ID_39,feature support gplaydl,412
ID_40,add filelink permissions,85
ID_41,feature allow using environment variables set settings,184
ID_42,ipa analysis error attributeerror str object attribute get,136
ID_43,feature publish tagged docker image release,418
ID_44,feature release tag,465
ID_47,css file loading fail china,349
ID_48,feature analyzing string values looking credentials,132
ID_49,feature fridump integration,59
ID_50,feature find api keys secrets matching regex,59
ID_51,feature validate known vulnerable apps,119
ID_52,feature getting stuck running static scan running niap analyzer,425
ID_53,feature starting httptools web ui independently,257
ID_54,access web,316
ID_55,enterprise solutions partnerships,442
ID_56,feature download androidmanifest api,412
ID_57,feature support android app bundle format,412
ID_58,feature enterprise support detect deprecated methods libraries risk score,215
ID_59,feature setup sh run ubuntu report venv error,418
ID_60,feature fix typos discovered codespell,59
ID_63,enhancement make android ios permission data structure consistent,260
ID_64,feature ios hardcoded secrets info plist,412
ID_65,enhancement add arm docker images,418
ID_67,feature better scoring risk metrics,373
ID_68,feature split apk support,412
ID_69,feature browse files,307
ID_70,feature support independent dynamic analysis without static analysis,412
ID_71,feature python issue,425
ID_72,feature test,412
ID_73,feature maximum size apk file uploaded,228
ID_74,feature ability provide false positive list remove mark report,176
ID_75,ipa analysis error attributeerror str object attribute get,136
ID_76,wrong issue,482
ID_77,failed get json response dynamic analysis,418
ID_78,feature split settings py,484
ID_79,ux sticky horizontal scrollbar code xml views,386
ID_80,large file size causing issue static analysis,412
ID_81,feature add quark engine one static analyzers,412
ID_82,android emulator feature,412
ID_83,httptools ui url hardcoded localhost,257
ID_84,home views search func query recentscansdb url models declare,488
ID_85,wrong ca certificate subject hash leads certificate ignored trust anchor,121
ID_86,feature handle android source one level,412
ID_87,add section mobsf clearly indicates ssl pinning detection yes,186
ID_88,mobsf web api fuzzer entrance,40
ID_89,get mobile security framework v,123
ID_90,feature dynamically download frida binaries,412
ID_91,create non root docker image feature,418
ID_92,feature android api supported,412
ID_93,implement sarif format report export,280
ID_94,mobsf labels custom android permissions unknown permissions dangerous,126
ID_95,contributing integration library detection analysis mobsf,465
ID_97,use multiple devices dynamic testing,429
ID_98,lack ability view source browser cases upstream enlighterjs bug fixed,190
ID_99,nonetype object subscriptable,489
ID_100,feature dynamic analysis apk install error disable verification apk adb install,412
ID_101,feature provide setup py proper installation linux distro packaging,484
ID_102,program killed reason specific apk file,381
ID_103,daily weekly monthly auto remove uploaded apk feature,228
ID_104,user login basic login feature,467
ID_106,feature dynamic analysis prebuilt docker image,418
ID_107,use extension get file type,285
ID_108,feature new api method search dynamic analysis static analysis hash,412
ID_109,web ui elements overlap spread afar mobile big screen,464
ID_110,support running physical android device nfc pen testing,135
ID_111,feature consider changing warning janus vulnerability,108
ID_112,feature update niap verification latest requirements,96
ID_113,feature problem android permission,260
ID_114,staticanalysis allow different source paths android studio using zip format,412
ID_115,feature expose android dynamic analysis rest apis,412
ID_116,ipa static analysis failure,412
ID_117,feature android static analysis improve search urls,412
ID_118,download apk,412
ID_119,recent scan page feature,425
ID_120,astrings feature,244
ID_121,support android app bundles,412
ID_122,xapk packages supported,170
ID_123,feature mobsf sast support github actions gitlab ci cd,465
ID_124,adb root return error avd mobsf running computer,440
ID_125,proxy detection bypass ios anndroid,435
ID_126,add numbers reference static analysis pdf report,59
ID_127,support wkhtmltopdf,484
ID_128,add restapi interface,364
ID_130,feature dynamic analysis ios apps utilizing jailbroken iphones,412
ID_131,feature android signer certificate status v scheme marked good,250
ID_132,feature update scan response documentation,59
ID_133,feature add memory dump feature mobsf,412
ID_134,feature api support android studio emulator dynamic analyzer,412
