unique_id,title,cluster
ID_2,bitcode disable decreasing score disable bitcode flag build settings decreasing score overall per apple new policy need disable submit build update please,156
ID_3,feature rescan finished remove rescan argument requesting new feature enhancement explain would like added importance redirect without rescan parameter scan completed example rescan finished redirect,67
ID_4,feature update docker tagged build workflow file requesting new feature enhancement explain would like added importance feature request related problem please describe clear concise description problem describe solution would like clear concise description want happen describe alternatives considered clear concise description alternative solutions features considered additional context add context screenshots feature request,67
ID_5,update python support version ,339
ID_6,dynamic analyser ios support dynamic analyser ios guys please confirm,67
ID_7,uninstall steps needed installed mobsf without docker dast scan trying figure uninstall point longer need mobsf time however steps provided would like see entries documentation remove mobsf installed without docker,188
ID_8,feature support non default xmlns attribute androidmanifest xml feature request related problem please describe apks seemingly different naming scheme things usually prefixed prevents mobsf properly listing things used permissions etc present unsure whether comes build process apk comes tooling underneath mobsf extract manifest describe solution would like preferably mobsf would read xmlns attached instead using hardcoded prefix describe alternatives considered took look source code figure whether prefix hard coded mobsf seem case looking additional context sure whether linking apk mirrors allowed testing used vivaldi browser x architecture mobsf version c b jun,67
ID_9,include new semgrep rules semgrep rules android security hi recently work collection semgrep rules cover static tests described owasp mastg official repo include rules mobfs smiley hope like,164
ID_10,feature optimizing storage privileges database requesting new feature enhancement explain would like added importance feature request related problem please describe clear concise description problem dvm permissions py file stores permission description apk large number apks stored database description information large amount repeated data resulting larger larger database therefore recommended store contents file database reference foreign key describe solution would like clear concise description want happen way reduce large amount repeated text dvm permissions database improve standardization maintainability data,67
ID_11,feature enhancing secret detection regex rules hello believe simply searching keywords like api key insufficient trying detect secret considered using regular expression rules detect secret patterns already know quite simple find example demonstrating implementation approach,189
ID_12,timeframe stable releases hi thanks maintaining amazing tool hope question okay issue tracker thought discovery might bit better slack maybe docs could come timeframe mobsf releases stable noticed months ago missing hotfixes could find projects milestones issues tracking version completion figured would ask signaling mechanism way documented missing thanks advance,125
ID_13,feature ios need binary code analysis detail info like android conducting binary code analysis encountering issue would detailed information provided issue file paths specific code details however description issue available making difficult quickly identify problem determine false positive hope next version include details thank,215
ID_14,feature port recent python mobsf work python see also popular distributions ubuntu released last month debian bookworm release soon include python time port mobsf recent python versions,5
ID_15,mobsf incompatibility kali linux python error mobsf dependencies require python python version python points python,339
ID_16,docker build failed environment unable docker build cwd tmp pip install syurx dd http tools complete output lines error http tools setup command install requires must string list strings containing valid project version requirement specifiers expected end semicolon version specifier mitmproxy log file,146
ID_17,feature make gunicorn listen ipv ipv sockets right gunicorn forced bind makes bind ipv address docker k running dual stack mode change ipv ipv address pod work gunicorn lsten ipv socket make bind instead wink feature request related problem please describe yeah ipv replies service gunicorn describe solution would like see describe alternatives considered alternative disable ipv pod service question additional context see,81
ID_18,add support apple silicon requesting new feature enhancement explain would like added importance feature request related problem please describe android app analysis slow macs apple silicon python run rosetta describe solution would like tool support python natively supports apple silicon expedite android app analysis describe alternatives considered clear concise description alternative solutions features considered additional context add context screenshots feature request,67
ID_19,feature suggest replace ip location library geoip suggest using geoip library instead ip location supports multiple languages describe solution would like ip address information display different languages pip install geoip,348
ID_20,dynamic analyze error hello ajin abraham windows got error tried start dynamic analyzer column staticanalyzer staticanalyzerandroid quark tried update mobsf error cd mobile security framework mobsf git pull origin master venv scripts activate pip install cache dir use deprecated legacy resolver r requirements txt python manage py makemigrations python manage py makemigrations staticanalyzer python manage py migrate deactivate tried reinstall mobsf error git clone cd mobile security framework mobsf setup bat else resolve error best regards artem vyalov,175
ID_21,mobsf static analysis fails apks upload via api environment explanation issue using mobsf via git clone master latest pulled attempting upload apks file via curl scan endpoint returned error logs according apks format supported since v beta looking code changes support appears api static analysis py get updated support addition apks files mostly curious intentional mistake steps reproduce issue log file,215
ID_22,get icon environment explanation issue,215
ID_23,feature support static analysis different binary formats hi would like request new features include static analysis following binary formats independently generate report priority android aar dynamic library ios dynamic framework ios dynamic framework bundle structured directory contains dynamic shared library along associated resources nib files image files header files priority android jar support priority android static library ios static framework dynamic framework except dynamic library packages static library resources images headers etc details expected report binary formats aar report shall similar apk aar specific sections sections except signing certificate section jar report shall similar apk jar specific sections android api security analysis network security code analysis niap analysis file analysis malware analysis reconnaissance components report shall contain details parsed binary analysis section already done files within apk additionally report shall list readable strings ios dynamic static framework report shall subset ipa analysis applicable sections,349
ID_24,feature async support async support,58
ID_25,feature ios source show info plist requesting new feature enhancement explain would like added importance feature request related problem please describe current way show info plist source code correct misses actual plist file describe solution would like list info plist viewing describe alternatives considered find correct info plist correct info plist additional context add context screenshots feature request,67
ID_26,androidversiontext error analysing apk environment explanation issue upload apk mobsf raises error terminal says seems key androidversiontext text django tries parse int valueerror invalid literal int base androidversiontext steps reproduce issue,307
ID_27,feature add support android app bundles aab files requesting new feature enhancement explain would like added importance feature request related problem please describe right mobsf support android app bundles aab files describe solution would like would great support aab file upload convert apk files fly scan,67
ID_28,ip location remove company supposed use ip location possible remove build work without,132
ID_29,pdf export dead find better option mobsf uses wrapper wkhtmltopdf wkhtmltopdf requires qtwebkit depreciated migration qtwebengine slow see following links side note current export pdf html pdf broken useless paginated sections getting exported write export database directly,160
ID_30,ios permissions local network permission permission analysis py cocoa keys added ios could please update latest permission list ios,67
ID_31,default permissions mobsf integration private repo using github actions feature request problem integrating using github action private repository noticed error codeql upload sarif action failed httperror resource accessible integration solution issue permission set job sufficient minimal permission worked fixed issue raised enable advance security using add following permission workflow private repos permissions actions read contents read security events write statuses write confirm workflow read write permissions repository scopes using additional context rerun workflow successful response img width alt mobsf src,212
ID_32,feature html ,120
ID_35,feature download ipa files like apks team uses hosted version mobsf share information compare notes download apk button makes convenient way share apk files across team think ios apps get treatment mobsf download ipa button ios apps feature request related problem please describe problem feature parity ios android android already feature describe solution would like static analyzer page specific ios app enable download ipa button towards top page android shown right scan options within decompiled code card describe alternatives considered workaround ssh onto mobsf server scp files directly using webui would much nicer additional context,67
ID_36,sha hash support ui lookup would possible expand support existing md hash lookups include sha hashes,320
ID_38,feature convert pdf report chinese requesting new feature enhancement explain would like added importance feature request related problem please describe need chinese pdf report describe solution would like convert pdf report chinese describe alternatives considered google translate additional context platform choose generate reports pdfs chinese,67
ID_39,feature support gplaydl requesting new feature enhancement explain would like added importance command line google play apk downloader extracts apk authenticated user automate download current apk google play analyse within mobsf single step feature request related problem please describe describe solution would like given playstore url search bar download apk using gplaydl instead current apk mirrors pre requisites email id app specific password configuration variables describe alternatives considered found reliable gplay downloader better lib tool download apk google play okay well additional context na,67
ID_40,add filelink permissions would handy include links permissions section files using permission feature request related problem please describe security researchers lazy would cool review code section uses permission within browser describe solution would like maby list file path links like section android api code analysis,67
ID_41,feature allow using environment variables set settings requesting new feature enhancement explain would like added importance feature request related problem please describe containers usually use environment variables configure easier injection especially useful context ci cd secrets e g protected however currently mobsf reads describe solution would like maybe read environment variables inject,67
ID_42,ipa analysis error attributeerror str object attribute get environment explanation issue steps reproduce issue,215
ID_43,feature publish tagged docker image release requesting new feature enhancement explain would like added importance feature request related problem please describe update latest master tagged release describe solution would like publish also tagged release like pypi publishing ref describe alternatives considered clear concise description alternative solutions features considered additional context add context screenshots feature request,67
ID_44,feature release tag please make release new number months old want use latest tag deployments,203
ID_47,css file loading fail china page loading time seconds live china users access site could put font file code repository use cdn,202
ID_48,feature analyzing string values looking credentials analyzing apks thinking regex run strings values strings name may interesting example looking patterns look likes credentials basic base string feature request related problem please describe mobsf check string names order find potential secrets however secrets may stored variables unpredictable name describe solution would like secret method mobsf staticanalyzer views shared func py looking variable names something may added looking string regex basic base string basic za z alg eyjhbgcioi encoded string alg add patterns,189
ID_49,feature fridump integration thought awhile saw discussion seen request feature yet wanted go ahead put one fridump integration thanks,29
ID_50,feature find api keys secrets matching regex requesting new feature enhancement explain would like added importance currently feature find possible hardcoded secrets could false positives suggesting feature use regex find api keys currently command line program called exactly would course nice implemented program would get exact matches api keys secrets feature request related problem please describe problem describe solution would like use list regex match certain api keys secrets found without false positives willing provide regex patterns needed describe alternatives considered currently use program called mobsf inbuilt would ease workflow,67
ID_51,feature validate known vulnerable apps many open vulnerable application published would good enhance mobsf would detect vulnerabilities could detected automated mode recent project many https github com dineshshetty android insecurebankv,227
ID_52,feature getting stuck running static scan running niap analyzer logs moving post niap analyzer sure niap analyzer info oct running niap analyzer need suggestion info oct running apkid info oct trackers database date info oct detecting trackers info oct apk java info oct decompiling java jadx info oct dex smali info oct converting classes dex smali code info oct converting classes dex smali code info oct converting classes dex smali code info oct converting classes dex smali code info oct converting classes dex smali code info oct converting classes dex smali code info oct converting classes dex smali code info oct converting classes dex smali code info oct converting classes dex smali code info oct converting classes dex smali code info oct converting classes dex smali code info oct converting classes dex smali code info oct converting classes dex smali code info oct converting classes dex smali code info oct converting classes dex smali code info oct converting classes dex smali code info oct code analysis started java source info oct running niap analyzer,349
ID_53,feature starting httptools web ui independently often go random dynamic analysis get httptools web ui started check recent scans would good main page add httptools web ui next dynamic analysis example go every time full steps get,215
ID_54,access web successfully access ubuntu computer access configure,129
